Number of Variables,Time,Date,Trasition Name,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,¿ÀÈÄ 10:43:50,19/10/2018,"[['l', ['f:3.659400 r:0.703900']], ['l', ['f:8.960500 r:5.606300']]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,hmi_RCSLT459_VALUE,hmi_RCSLT461_VALUE,hmi_CVCLT149_VALUE,hmi_CVCFT121_VALUE,hmi_CVCPT120_VALUE,hmi_CVCFT142A_VALUE,hmi_CVCFT143A_VALUE,hmi_CVCFT144A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT158_VALUE,hmi_CVCFT159_VALUE,hmi_CVCFT160_VALUE,hmi_CVCFT161B_VALUE,hmi_CVCFT215A_VALUE,hmi_CVCFT215B_VALUE,hmi_CVCTT127A_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCPT115_VALUE,hmi_CSSLT09_VALUE,hmi_CSSLT10_VALUE,hmi_CHSRT311_VALUE,hmi_CHSRT312_VALUE,hmi_CHSRT313_VALUE,hmi_CHSRT321_VALUE,hmi_CHSRT322_VALUE,hmi_CHSRT323_VALUE,hmi_CPSRT221_VALUE,hmi_CPSRT222_VALUE,hmi_CPSRT223_VALUE,hmi_CPSRT331_VALUE,hmi_CPSRT332_VALUE,hmi_CPSRT333_VALUE,hmi_CVCTT130A_VALUE,hmi_CVCIT1_VALUE,hmi_CVCIT7_VALUE,hmi_CVCIT17_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT403A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT443C_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT463A_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPT455A_VALUE
25,0.117262293,0.651871267,0.800499513,0.302033268,0.242113013,0.727434574,0.285450994,0.991832035,0.192492925,0.357048682,0.43129105,0.25723956,0.985950822,0.15043778,0.131282209,0.408943791,0.216059684,0.860665396,0.810791507,0.053300553,0.041297745,0.969577357,0.778601914,0.147554399,0.710374948,0.711548896,0.200622847,0.385692918,0.03282757,0.970217684,0.645447776,0.87186954,0.337740982,0.843311975,0.027368272,0.345884088,0.252352801,0.112925563,0.250818351,0.392698688,0.996500117,0.499950799,0.801661894,0.986537188,0.458163512,0.924808226,0.969288188,0.600747033,0.130368616,0.763509884,0.233503909,0.403899275,0.529217487,0.178094729,0.467580125,0.852706495,0.444409729,0.291206013,0.821284476,0.598937896,0.783073869,0.340264812
26,0.268685251,0.031878267,0.147262675,0.757263555,0.209660519,0.742308987,0.482604696,0.518288134,0.547887507,0.376968227,0.36086009,0.869809764,0.617618028,0.927359764,0.513191735,0.126702256,0.984839076,0.544698316,0.849939566,0.692474911,0.192111472,0.741392025,0.835642937,0.421159363,0.162027038,0.122355722,0.159223549,0.71899339,0.62513506,0.409509536,0.291927485,0.546612991,0.345686029,0.47085213,0.994419964,0.258392616,0.227229849,0.231176232,0.360429173,0.346576234,0.431325931,0.813623652,0.864629049,0.92917107,0.805799401,0.554473922,0.156480806,0.757694189,0.595995297,0.953701286,0.910996502,0.061658634,0.368737538,0.196274436,0.931400253,0.772069281,0.478793001,0.296806412,0.949390089,0.783401625,0.889028956,0.456348093
27,0.67126461,0.60533804,0.086275825,0.65754702,0.371996331,0.261312046,0.755426721,0.907028369,0.342587589,0.485488759,0.986830556,0.729707617,0.634993423,0.385685709,0.026912356,0.649275881,0.121722331,0.768736271,0.179139208,0.68274217,0.388785343,0.32058992,0.783982831,0.111278917,0.732952433,0.45183758,0.561172249,0.139959037,0.540742834,0.310503322,0.755798076,0.847229261,0.702227682,0.718334854,0.644965455,0.073879258,0.529637816,0.432191913,0.458791883,0.295275865,0.91166486,0.931426069,0.023878178,0.476003285,0.501741813,0.9612514,0.001606692,0.542042077,0.792759337,0.929096505,0.018336252,0.905258703,0.734250676,0.743558791,0.773893101,0.163740724,0.940752545,0.701255663,0.002722036,0.414618112,0.549464802,0.17824225
28,0.990474278,0.774016522,0.570450386,0.011751041,0.147189365,0.294714784,0.061503428,0.067734202,0.049599477,0.306140595,0.271361314,0.395773592,0.95588045,0.251019766,0.726084524,0.680505272,0.205663858,0.493667519,0.399116838,0.20544867,0.060169848,0.698598595,0.968578766,0.444482603,0.717063151,0.1977675,0.883350481,0.558010302,0.141609812,0.357492438,0.39366185,0.715330883,0.469784632,0.642614842,0.234414469,0.696411192,0.245206587,0.236340936,0.791680633,0.662136681,0.97688381,0.031194006,0.375375539,0.733763877,0.27193911,0.739068726,0.327711816,0.817063757,0.618430967,0.907416871,0.877742643,0.192222767,0.425727489,0.477465289,0.538830446,0.233707462,0.729527361,0.839778038,0.980630645,0.307711544,0.35690589,0.351255838
29,0.49080821,0.716995347,0.710106262,0.260700667,0.689198039,0.291666456,0.062293774,0.461900285,0.081719967,0.142005107,0.58598587,0.219271001,0.204368785,0.476200455,0.426370195,0.743605297,0.233557721,0.488794435,0.993161883,0.039161918,0.722121463,0.572089024,0.498808815,0.593308494,0.758981621,0.690177574,0.47181298,0.720597377,0.934430356,0.925464863,0.305556786,0.738031121,0.856199974,0.452979432,0.97138284,0.155057621,0.219458833,0.6412181,0.595429775,0.299511876,0.624089484,0.463627178,0.015442941,0.018323651,0.925819648,0.774084068,0.925786209,0.926889294,0.307515073,0.928780145,0.673439335,0.446445071,0.913442308,0.209137288,0.765449845,0.592192891,0.09877751,0.134836265,0.396327194,0.729562884,0.591297415,0.512071048
30,0.456020159,0.627827885,0.383187335,0.532687317,0.912630717,0.170889448,0.080399811,0.433757153,0.07344426,0.797356473,0.218453629,0.608133834,0.065851316,0.310302294,0.984537607,0.09218116,0.307591526,0.475224108,0.936435928,0.762072111,0.072449403,0.365843727,0.878877216,0.823413851,0.423415682,0.234516867,0.453788137,0.151205541,0.475746345,0.837412085,0.499102773,0.967581482,0.15837312,0.561380971,0.867384376,0.690165913,0.659674271,0.073794903,0.597668074,0.493302426,0.752612164,0.153538615,0.300194806,0.671831116,0.306627553,0.37433003,0.487759857,0.41446685,0.318267917,0.143813252,0.684455427,0.01813742,0.95387757,0.486674804,0.124400736,0.225521528,0.416056786,0.217027978,0.07372903,0.928313252,0.09975312,0.359368125
31,0.886490138,0.412081318,0.832708425,0.679549337,0.373751508,0.954149313,0.837406876,0.127659877,0.929609849,0.149372305,0.015708144,0.820799257,0.574227216,0.836730679,0.26388732,0.542386842,0.859273736,0.015117634,0.427746783,0.218230281,0.423634409,0.63983306,0.560573958,0.822578273,0.74814499,0.591764163,0.921020704,0.914696876,0.571940958,0.805916692,0.863613743,0.660448404,0.617646935,0.493821396,0.493779266,0.581607316,0.672060794,0.176187119,0.318519917,0.233723736,0.988397263,0.572336342,0.419189517,0.732806713,0.997794359,0.96143402,0.951062661,0.890337345,0.257075569,0.186196415,0.114535179,0.822370853,0.1797089,0.674130218,0.467844428,0.155359235,0.713673292,0.901007985,0.654409322,0.237573842,0.902556562,0.735582987
32,0.421074593,0.556487253,0.568214521,0.396769716,0.079586436,0.11186636,0.927087172,0.873786848,0.952293912,0.782661237,0.158458032,0.112781701,0.843396859,0.346399963,0.351461057,0.929829953,0.428788301,0.185499461,0.507842687,0.311681418,0.352002898,0.824291589,0.166134131,0.124954614,0.063875927,0.809653125,0.622299535,0.893322704,0.803989856,0.289831733,0.481808368,0.776306151,0.176062943,0.494152167,0.860696384,0.353701363,0.102941311,0.914550989,0.854932915,0.467208256,0.573379552,0.673680529,0.267063211,0.668756613,0.302534227,0.793849177,0.647342348,0.779431761,0.609047175,0.587482665,0.954435441,0.236096357,0.453376306,0.563350256,0.780195045,0.66922062,0.050306931,0.848537478,0.622920446,0.176469444,0.434560229,0.491409085
33,0.182164802,0.807194053,0.327290306,0.227117151,0.068810996,0.634984465,0.581685234,0.7188097,0.386747386,0.765746293,0.051554029,0.663651701,0.281408733,0.669599709,0.504570027,0.398150339,0.066663769,0.071386822,0.918231068,0.058682388,0.211324082,0.7459496,0.713168902,0.215371111,0.691204268,0.707345045,0.601500088,0.12635533,0.687789107,0.419556471,0.78680377,0.513453119,0.251833814,0.244318475,0.207485998,0.845007483,0.622444081,0.414874641,0.057260907,0.34737295,0.820285966,0.15399026,0.992741677,0.269743719,0.902907102,0.14883649,0.885861041,0.924617719,0.838098779,0.879507461,0.094569668,0.319481622,0.022524816,0.82653447,0.164159591,0.636132889,0.305739784,0.965265195,0.490268366,0.976493224,0.898462191,0.558107781
34,0.589058432,0.297567891,0.993851745,0.481009145,0.809666347,0.562716753,0.825227816,0.518417125,0.135166972,0.705161101,0.386901916,0.607141205,0.615332342,0.829506958,0.362835902,0.350460272,0.679925333,0.485445251,0.729435923,0.156386511,0.618600472,0.10266128,0.797384012,0.170102478,0.8316563,0.438192624,0.966365679,0.813885158,0.711712118,0.951977308,0.919775049,0.507498813,0.772050694,0.033717787,0.560474547,0.791166703,0.998457263,0.083173022,0.557519377,0.338298516,0.774623848,0.940616049,0.229882914,0.61753065,0.042752771,0.978756564,0.531269487,0.120730597,0.741063897,0.7661395,0.516111071,0.124260436,0.415928195,0.661946115,0.29915516,0.179409553,0.018165495,0.205476412,0.431214289,0.752770023,0.303219652,0.952815854
35,0.896963854,0.249424517,0.259373788,0.481783263,0.998520765,0.418263856,0.362497507,0.556473918,0.559153482,0.688604199,0.230336415,0.118909626,0.361386289,0.842666953,0.483837007,0.894046228,0.476844226,0.141257919,0.652665747,0.388119892,0.820662696,0.510446939,0.107031132,0.653191467,0.869726521,0.243786685,0.312483819,0.236464862,0.311719007,0.183796246,0.003791049,0.028838923,0.300620491,0.149098139,0.194076162,0.259976158,0.070928821,0.100189239,0.513217637,0.295926858,0.70012096,0.263958454,0.936022256,0.002491224,0.845172945,0.62439081,0.527507575,0.520708436,0.170702856,0.23425841,0.816132772,0.450489465,0.810983809,0.956964269,0.92197174,0.584957925,0.897091612,0.109779718,0.491577272,0.489398136,0.398253612,0.448049377
36,0.055758267,0.738794505,0.74225876,0.306411585,0.910186459,0.625081349,0.10802832,0.564817812,0.328991491,0.138236274,0.769488841,0.885925956,0.93854386,0.385115731,0.323656124,0.526073311,0.071995864,0.014510861,0.642280085,0.715699354,0.583878719,0.579510097,0.105762553,0.701114437,0.166168655,0.512660865,0.72273776,0.485221806,0.883395302,0.709377653,0.915998361,0.280919058,0.350813325,0.595743583,0.078379276,0.900716147,0.16032119,0.294886045,0.528779369,0.669858284,0.671911913,0.263945434,0.603480329,0.458430127,0.674993264,0.838183534,0.229945457,0.099197355,0.786109983,0.641114883,0.968918017,0.281918346,0.953113215,0.794775689,0.234860096,0.580180669,0.228710063,0.063491731,0.780462925,0.478692447,0.26019919,0.811967045
37,0.091821307,0.35449283,0.551729491,0.872510041,0.951712259,0.833617634,0.845905304,0.063575356,0.692349799,0.706838976,0.022602051,0.609927625,0.357576541,0.683245015,0.929281928,0.719282237,0.724046322,0.665451154,0.292982946,0.691596137,0.355689588,0.172045209,0.618580458,0.977585724,0.137897946,0.444402328,0.943590866,0.740573282,0.288997355,0.212818851,0.829537312,0.631961514,0.153277666,0.611838536,0.700312484,0.33804873,0.173538602,0.959597957,0.099211022,0.685618001,0.443314687,0.894231454,0.474904714,0.078448577,0.641551839,0.496850767,0.985191863,0.720516296,0.966295506,0.030425833,0.317217753,0.223054277,0.008999677,0.206872139,0.113651385,0.531396502,0.007184573,0.425195487,0.646422461,0.827314693,0.341094716,0.135463042
38,0.326968008,0.556093198,0.70282076,0.757082321,0.229338492,0.185747747,0.460300313,0.809308165,0.197315116,0.37923255,0.220549428,0.282106375,0.683718957,0.221024521,0.278924266,0.760628771,0.442972142,0.010820515,0.117939432,0.752179079,0.290234737,0.591245215,0.788756354,0.987805534,0.344042805,0.144491038,0.916974529,0.198558366,0.390625072,0.720566139,0.365311119,0.224837311,0.749584827,0.109743828,0.31523677,0.586618448,0.17036206,0.051610685,0.764078827,0.637431611,0.414789975,0.348293548,0.033068566,0.245646528,0.921423917,0.953424087,0.804984376,0.965942623,0.541366461,0.323289361,0.26608251,0.781676326,0.967911728,0.664274347,0.925975244,0.901330891,0.778564461,0.840009871,0.55886336,0.377395383,0.734472779,0.258708411
39,0.220865842,0.949804741,0.713211202,0.534375464,0.979751503,0.768083379,0.980912439,0.237957852,0.148421935,0.318666429,0.460684914,0.706454185,0.834279446,0.669388479,0.417161425,0.159309779,0.432246835,0.17757327,0.061394917,0.987674733,0.500770701,0.607934337,0.273875294,0.059744086,0.202361416,0.699522295,0.029445362,0.212114982,0.955469998,0.414371737,0.325853195,0.082971386,0.908726993,0.537411495,0.247488773,0.73832316,0.724976367,0.03266918,0.546990402,0.991496784,0.799421469,0.194513738,0.204260437,0.725191563,0.044176746,0.798320683,0.674518906,0.000216874,0.633867037,0.147007994,0.871315518,0.672729789,0.983717557,0.489046845,0.895491161,0.688865542,0.883431457,0.170133537,0.371911586,0.100495071,0.70707919,0.15527018
40,0.323482291,0.213447876,0.302335113,0.19707653,0.188342139,0.050352409,0.227848934,0.699018917,0.050805045,0.75347571,0.907106123,0.929596015,0.581446822,0.777646782,0.873920676,0.99634118,0.704506864,0.031042601,0.196432801,0.933229482,0.536559364,0.473442448,0.258820863,0.038651219,0.60397788,0.058908994,0.573834532,0.745102197,0.021981449,0.269835008,0.010887592,0.427735829,0.847342805,0.509623233,0.816140019,0.318462575,0.348289996,0.044110551,0.05875627,0.76743042,0.052515985,0.137683199,0.636175602,0.883017597,0.385567757,0.109789534,0.90432553,0.696623418,0.487914651,0.749653655,0.354837204,0.031352597,0.587497641,0.056402559,0.604513698,0.610438717,0.891385291,0.540280953,0.584495324,0.344783282,0.379185327,0.294848288
41,0.802473521,0.678991137,0.993296337,0.788970719,0.812761889,0.757684031,0.141624429,0.156487159,0.551679673,0.664143385,0.702468472,0.915481952,0.374416828,0.4079446,0.816244936,0.74143942,0.633844782,0.033284366,0.106164501,0.740987917,0.693538187,0.935644942,0.097209767,0.672693749,0.809430235,0.901084696,0.922397549,0.341564063,0.083413084,0.142024861,0.880782066,0.434776435,0.62393099,0.689265673,0.744132099,0.428915937,0.932736815,0.210860859,0.401950811,0.989249793,0.249354393,0.914951329,0.7088506,0.929194532,0.698713974,0.589700396,0.893414736,0.162421193,0.467609964,0.376200263,0.95162427,0.843323148,0.502299416,0.770608163,0.682193753,0.717019603,0.139803209,0.19185473,0.724894811,0.612225737,0.105448053,0.790144732
42,0.97673027,0.887894518,0.020816657,0.099415216,0.895145406,0.566706245,0.173890772,0.390588581,0.536373326,0.394095387,0.588155114,0.685191752,0.668613232,0.117712921,0.507334901,0.463655969,0.846452269,0.712872953,0.082479565,0.416624781,0.519701494,0.010578885,0.993108368,0.233447114,0.963190419,0.229155937,0.996927702,0.297883341,0.350294402,0.411085755,0.381470477,0.800358199,0.872829481,0.656687788,0.992881303,0.173567602,0.454002923,0.281610635,0.950653807,0.090167435,0.359912494,0.122330318,0.775923504,0.274818811,0.355072011,0.137952895,0.634225732,0.856881775,0.565334194,0.849478992,0.283564513,0.011819897,0.762442792,0.354472882,0.595303908,0.825477888,0.775691812,0.943818315,0.649447261,0.75885225,0.313094306,0.702552943
43,0.435454863,0.879142531,0.309717036,0.233334442,0.200743332,0.906922047,0.955029978,0.458658711,0.73483844,0.119843002,0.563041115,0.873769091,0.196852249,0.475178479,0.993048244,0.417015852,0.420425697,0.532046977,0.245855235,0.798972396,0.538652835,0.941427481,0.46628413,0.806050542,0.438435513,0.802809511,0.22154575,0.504661724,0.997074531,0.014121311,0.183971453,0.479204779,0.631529233,0.714242809,0.878864392,0.117965862,0.063164799,0.84503244,0.862761902,0.109161225,0.29736086,0.666538053,0.462623459,0.31893158,0.588935342,0.849368191,0.913878709,0.727199443,0.072079485,0.26503783,0.382358873,0.404901921,0.519439712,0.45159492,0.026221246,0.920256977,0.900765826,0.122037058,0.741286156,0.65116977,0.544483423,0.979113344
44,0.42032737,0.035916182,0.924317713,0.337340899,0.967162614,0.144721597,0.382294765,0.354557938,0.915184992,0.371328737,0.887531726,0.014355304,0.631980341,0.212007632,0.968310321,0.750065898,0.589090871,0.456875756,0.94105828,0.316094084,0.099886822,0.073551495,0.399986454,0.484849613,0.183256355,0.038681673,0.337062182,0.810876263,0.647436837,0.840208485,0.290914914,0.006743629,0.165572844,0.819323793,0.808401389,0.435626775,0.223598633,0.588889778,0.906878341,0.87471762,0.807098869,0.168142233,0.799895388,0.064950871,0.389256421,0.722464495,0.900289037,0.876137594,0.487127936,0.937373445,0.994029632,0.588761819,0.701490705,0.483674116,0.644278877,0.133496682,0.788021496,0.031589357,0.728246655,0.41986187,0.473153597,0.641652125
45,0.594826812,0.496470873,0.759700419,0.940371202,0.565295324,0.468356618,0.084445501,0.154367782,0.005966358,0.751433996,0.603218503,0.363332631,0.774839798,0.068271345,0.371438187,0.382328692,0.90433326,0.679658737,0.2189289,0.356938104,0.135979615,0.961602497,0.516458175,0.765482243,0.663339941,0.264636121,0.027234327,0.186854003,0.110975188,0.238068826,0.867210625,0.063100135,0.129392435,0.804057137,0.472194059,0.430196807,0.656127757,0.617399742,0.406534583,0.258517665,0.901307051,0.91872516,0.514856504,0.12421674,0.882180823,0.550408164,0.058119429,0.1949221,0.552470218,0.612179653,0.252689769,0.022653103,0.431776751,0.422233327,0.119177981,0.070339834,0.7084852,0.069276258,0.502672632,0.676668942,0.653749985,0.705338389
46,0.479743371,0.053239144,0.124209706,0.963517263,0.860834553,0.80425495,0.116597373,0.777218362,0.966014951,0.9114431,0.214729599,0.913847239,0.139261744,0.507774891,0.69124787,0.437061153,0.603546598,0.117015577,0.490272051,0.673827285,0.755846806,0.52699111,0.386351618,0.824280783,0.309306805,0.559164222,0.506415851,0.488666114,0.996063789,0.785247058,0.043228971,0.010532873,0.876760562,0.322701958,0.84623917,0.603291439,0.260828565,0.183590584,0.746611629,0.745664929,0.133975106,0.710433981,0.08362711,0.535401603,0.488275829,0.956455473,0.102465009,0.828789464,0.631072502,0.865720898,0.680299472,0.625487946,0.222409054,0.032734607,0.774240102,0.048983126,0.803537233,0.810257795,0.952375478,0.775099209,0.534554452,0.486061464
47,0.281494321,0.440960033,0.808887723,0.436633414,0.038094317,0.497391576,0.220650085,0.503046046,0.886977161,0.907341972,0.531267433,0.709259751,0.574886419,0.845277072,0.030848586,0.977654489,0.748072149,0.990819121,0.672944849,0.159805695,0.766894376,0.248099575,0.077027839,0.864987861,0.327988535,0.287627704,0.029943433,0.870632219,0.262470537,0.301265388,0.17983258,0.085063206,0.932695773,0.765135086,0.991638687,0.668842815,0.323982915,0.746911863,0.400237589,0.984693247,0.591381492,0.05841444,0.328111003,0.809885377,0.20221676,0.835489963,0.903650386,0.944433418,0.396794954,0.095643459,0.917233998,0.019700352,0.872768125,0.22769384,0.455771207,0.764557232,0.493334172,0.937564796,0.118823857,0.18873732,0.388472626,0.172553229
48,0.598598637,0.993512718,0.146509885,0.804606322,0.176475322,0.588026676,0.856033994,0.419590172,0.421824596,0.356551152,0.048499385,0.972072049,0.077178663,0.306618481,0.086815616,0.765300507,0.670311047,0.054029513,0.789563438,0.306177178,0.460957166,0.855891665,0.829968445,0.397532125,0.195509114,0.599363666,0.717724809,0.60260529,0.639818129,0.502227155,0.284796088,0.773551428,0.617238844,0.815912973,0.725164312,0.44109438,0.704129564,0.91555721,0.134132368,0.561369078,0.880059612,0.069389494,0.85954573,0.033582213,0.152054475,0.162043663,0.84496973,0.607073444,0.321414617,0.151954008,0.733548125,0.272930511,0.826789559,0.804273607,0.746205637,0.510658076,0.984422746,0.201257821,0.262723596,0.155621923,0.609567531,0.648883934
49,0.676063794,0.014359662,0.162405065,0.533913106,0.462542267,0.710991542,0.337145462,0.558344921,0.780212864,0.689082298,0.78978209,0.700629007,0.188210003,0.966251126,0.035849537,0.820464543,0.276988927,0.650238706,0.210623581,0.235033763,0.030295842,0.763759365,0.968262484,0.044679813,0.449506733,0.708298195,0.485736939,0.733731612,0.546979506,0.050940112,0.952938819,0.964688658,0.186522156,0.067330179,0.849997585,0.437833148,0.149088048,0.436688657,0.007725695,0.595968905,0.674786466,0.644141577,0.717906087,0.049259176,0.621967503,0.067373826,0.699857225,0.125364343,0.459752041,0.756548077,0.789820093,0.003276676,0.132909874,0.44779947,0.458314011,0.384093287,0.820507216,0.799814004,0.981445183,0.006033912,0.340785514,0.735689357
50,0.501554676,0.572272161,0.232505941,0.221153737,0.249880622,0.756611669,0.61892806,0.018558989,0.438365088,0.161398383,0.386694291,0.564565033,0.894566437,0.651716404,0.41040961,0.835989994,0.449416235,0.690587846,0.042727585,0.568296044,0.597699885,0.529505081,0.495885293,0.74040996,0.00113482,0.270175161,0.806464425,0.888084286,0.452311211,0.974765311,0.497224684,0.048756187,0.102405805,0.039855094,0.717226556,0.778657769,0.095228185,0.800765815,0.272579564,0.608093636,0.431252529,0.565882293,0.661025883,0.666527222,0.489651599,0.211296693,0.182782734,0.065241073,0.201921319,0.65056498,0.776491362,0.432940641,0.958072113,0.879116166,0.647244939,0.749695274,0.478650732,0.076859659,0.562225792,0.288564547,0.663119163,0.925625304
51,0.926956264,0.461124967,0.629705458,0.780804091,0.44267531,0.998650995,0.608732164,0.133779972,0.336250976,0.81397216,0.658911104,0.432222485,0.606932503,0.143781903,0.255923108,0.789538063,0.091898408,0.689906261,0.414653733,0.592522553,0.568826141,0.11881515,0.588231354,0.775293445,0.580882227,0.8152673,0.569953057,0.517881772,0.752474734,0.024429743,0.197429109,0.989139299,0.566215714,0.185779344,0.039863321,0.802318149,0.179743105,0.868289698,0.817084102,0.926680261,0.852221745,0.573869751,0.938203169,0.692242403,0.249207636,0.082515417,0.568061118,0.97321423,0.881391629,0.430612638,0.058543892,0.005563258,0.493586084,0.151460376,0.33709474,0.328187095,0.883434462,0.414014496,0.611411375,0.345775142,0.706178447,0.482202284
52,0.984162204,0.201026869,0.456434975,0.926560441,0.90487951,0.974296162,0.270963171,0.763666292,0.48084917,0.130574058,0.034661351,0.975353307,0.162076961,0.944216653,0.706937603,0.659540318,0.842421892,0.293209967,0.858937096,0.373880399,0.317663737,0.284351868,0.910999715,0.288755403,0.577102953,0.885180092,0.104094127,0.681884197,0.683438133,0.096967108,0.172286111,0.246139006,0.456100641,0.646367607,0.47488754,0.681149844,0.732707011,0.385677336,0.389225536,0.656612268,0.600006707,0.795625431,0.429871961,0.288676809,0.874173072,0.826696202,0.545460642,0.551108435,0.801231721,0.325231758,0.005265572,0.412699758,0.863445084,0.183449852,0.492407236,0.923235505,0.245003123,0.474600295,0.757312395,0.999860075,0.123933966,0.818757844
53,0.429133848,0.564828971,0.15147143,0.563919875,0.379362795,0.105549938,0.204542224,0.103266919,0.642288432,0.131033524,0.948996229,0.149930197,0.089442162,0.715695339,0.776173202,0.525245219,0.503530098,0.379715688,0.289511185,0.575615052,0.7220016,0.574028832,0.158378406,0.825302705,0.762746785,0.708799107,0.014479249,0.343303785,0.635352972,0.600997086,0.176013894,0.699123193,0.900398952,0.725658408,0.296028096,0.013165944,0.105404302,0.750847386,0.19259692,0.985950799,0.191700987,0.773585114,0.377631813,0.050339043,0.139433238,0.806160951,0.696178726,0.605543201,0.678906653,0.959813555,0.422244376,0.183462262,0.793281572,0.964342417,0.028567808,0.99429919,0.987968659,0.176067039,0.485492109,0.440288651,0.245936788,0.223063269
54,0.50028253,0.385803331,0.678153324,0.977133287,0.452224413,0.590639434,0.602671279,0.273538989,0.650253351,0.20057372,0.943334058,0.63447533,0.106081841,0.201611195,0.867845306,0.09047769,0.269241355,0.572045814,0.507773287,0.562283567,0.168080856,0.839378776,0.815423687,0.155913707,0.246131941,0.803978415,0.06472685,0.365912452,0.325310982,0.128803245,0.518956552,0.577860973,0.995524024,0.450313241,0.055851104,0.320814646,0.946383271,0.83254818,0.456067361,0.047064242,0.36693851,0.459293938,0.747885362,0.545586342,0.956939036,0.900933836,0.504875029,0.054164708,0.108424373,0.174684867,0.486039734,0.462981008,0.194076603,0.787643097,0.357779928,0.845260277,0.591194644,0.893604268,0.772521208,0.226506912,0.521463094,0.401991214
55,0.765659191,0.218927106,0.602492426,0.847684791,0.283568557,0.214531691,0.4633066,0.228211179,0.664392661,0.174236282,0.316422568,0.180818594,0.291466586,0.864023027,0.704552618,0.39173914,0.150160832,0.892803424,0.434074168,0.668232629,0.661140606,0.811227332,0.90851539,0.18736882,0.87820204,0.973279713,0.697553727,0.435640089,0.913602857,0.051497709,0.333335366,0.306116765,0.428936175,0.131834968,0.789116275,0.067969904,0.134606445,0.190671476,0.286890607,0.904131681,0.466587457,0.472908098,0.372794119,0.979850161,0.84559134,0.375548482,0.329934806,0.790273702,0.641400536,0.778498656,0.333376289,0.834585451,0.628708645,0.794848354,0.620011519,0.249779812,0.228004795,0.662906999,0.293463605,0.355333775,0.70452408,0.147290457
56,0.456850254,0.101952773,0.18531981,0.391470872,0.80379616,0.13645885,0.531884645,0.185088304,0.694769814,0.986719934,0.890060863,0.858130966,0.331471916,0.141423266,0.547880073,0.615080177,0.083804181,0.745763019,0.264785252,0.167897598,0.755057568,0.810133012,0.88781383,0.236291535,0.855111005,0.180766259,0.338632214,0.37352698,0.508163721,0.858590566,0.300777184,0.100970471,0.684836636,0.194779397,0.077000329,0.720847702,0.962773904,0.005420652,0.259492093,0.400790098,0.156154409,0.242107643,0.569742382,0.815888087,0.703563618,0.544774894,0.061635076,0.087915973,0.50429658,0.666278796,0.187776516,0.226189871,0.166716316,0.929277587,0.267812299,0.416742376,0.540239398,0.919188429,0.186574801,0.245046202,0.119921049,0.828618183
57,0.98781851,0.926192197,0.379001681,0.823287323,0.848024767,0.01969984,0.476866405,0.307984212,0.583570967,0.116826954,0.145075668,0.909518761,0.545503043,0.928991175,0.934349946,0.644975154,0.519591118,0.185787503,0.566091737,0.973377259,0.203986088,0.524236799,0.817508856,0.343147507,0.883974124,0.84890045,0.594010055,0.183194904,0.599103987,0.447934466,0.158678422,0.580549208,0.661522687,0.865609754,0.52262389,0.61178644,0.738322331,0.760249209,0.89582385,0.91629005,0.095372234,0.82204582,0.981889592,0.147488656,0.516532508,0.114138983,0.121323574,0.049066051,0.137153445,0.279951405,0.207710949,0.564664629,0.857365983,0.636969925,0.555681625,0.067105591,0.54970518,0.85697523,0.656401413,0.113634936,0.815962118,0.524104983
58,0.949638177,0.47008739,0.515903799,0.175693968,0.13784193,0.585706318,0.813426604,0.359272992,0.889808474,0.966098866,0.294160919,0.967165096,0.899126587,0.760080901,0.701960928,0.813133857,0.446641742,0.136328245,0.997311909,0.98732632,0.6133223,0.139126813,0.224683202,0.189300017,0.706864646,0.468441297,0.056555049,0.500717463,0.623961847,0.189801916,0.620403298,0.012664703,0.582382274,0.028643828,0.425676848,0.677346963,0.099791132,0.308326236,0.342513322,0.020554269,0.063298448,0.839847672,0.669677507,0.408204544,0.372520226,0.919826727,0.22261273,0.667685034,0.001930684,0.223807464,0.938545754,0.860208605,0.843077277,0.863885599,0.954985526,0.293065583,0.631590399,0.900218596,0.157198246,0.563672534,0.771332512,0.264331571
